Node,Community,length_column
159,"[62, 22, 23]",3
2454,"[5672, 1721, 62]",3
4165,"[8, 760, 62]",3
3888,"[282, 62, 7]",3
2179,"[8, 59, 62]",3
165,"[62, 8, 22]",3
3525,"[282, 62, 863]",3
759,"[760, 685, 62]",3
2186,"[62, 22, 7]",3
4540,"[8, 62, 7]",3
3665,"[5672, 1721, 62]",3
4894,"[8, 62, 7]",3
1628,"[62, 282, 22]",3
2623,"[669, 62, 7]",3
4845,"[8, 62, 7]",3
3230,"[282, 62, 7]",3
1977,"[8, 685, 62]",3
3279,"[8, 282, 62]",3
1825,"[62, 282, 22]",3
1902,"[62, 282, 22]",3
1923,"[1721, 282, 62]",3
4288,"[8, 62, 7]",3
3559,"[3, 62, 22]",3
1920,"[62, 282, 22]",3
3292,"[8, 282, 62]",3
3223,"[5672, 282, 62]",3
4032,"[8, 1721, 62]",3
1048,"[685, 62, 7]",3
4749,"[8, 62, 7]",3
5607,"[5672, 1721, 62]",3
3300,"[8, 3, 62]",3
654,"[282, 62, 863]",3
64,"[62, 760, 22]",3
4038,"[5672, 8, 62]",3
3215,"[5672, 1721, 62]",3
2963,"[5672, 1721, 62]",3
4739,"[8, 62, 7]",3
1903,"[62, 3, 22]",3
3306,"[5672, 1721, 62]",3
3213,"[5672, 1721, 62]",3
1853,"[8, 685, 62]",3
4044,"[5672, 62, 7]",3
5501,"[5672, 1721, 62]",3
4048,"[1721, 62, 7]",3
1561,"[31, 62, 22]",3
4782,"[5672, 62, 7]",3
644,"[8, 282, 62]",3
33,"[3, 685, 62]",3
1951,"[8, 282, 62]",3
1375,"[8, 282, 62]",3
2947,"[8, 62, 7]",3
2264,"[62, 685, 22]",3
1947,"[8, 282, 62]",3
4014,"[5672, 282, 62]",3
1944,"[282, 3, 62]",3
5189,"[5672, 1721, 62]",3
1954,"[3, 685, 62]",3
3447,"[282, 62, 22]",3
2560,"[62, 3, 22]",3
966,"[685, 62, 22]",3
5966,"[5672, 669, 62]",3
5190,"[8, 62, 7]",3
3257,"[8, 282, 62]",3
941,"[62, 282, 22]",3
1594,"[8, 685, 62]",3
5143,"[8, 5672, 62]",3
4945,"[8, 62, 7]",3
5546,"[5672, 1721, 62]",3
1935,"[62, 282, 22]",3
973,"[685, 62, 23]",3
4841,"[893, 62, 7]",3
441,"[5672, 282, 62]",3
975,"[62, 282, 22]",3
1970,"[282, 62, 7]",3
1930,"[62, 3, 22]",3
643,"[282, 3, 62]",3
1260,"[62, 282, 22]",3
2918,"[62, 282, 22]",3
1351,"[62, 3, 22]",3
2387,"[62, 3, 22]",3
3351,"[5672, 62, 23]",3
1879,"[5672, 62, 7]",3
1009,"[1721, 282, 62]",3
1010,"[8, 282, 62]",3
1011,"[282, 187, 62]",3
874,"[282, 62, 22]",3
4693,"[893, 62, 7]",3
1621,"[8, 282, 62]",3
3346,"[5672, 669, 62]",3
870,"[62, 22, 7]",3
2585,"[282, 3, 62]",3
2584,"[282, 3, 62]",3
863,"[62, 685, 22]",3
624,"[8, 685, 62]",3
3352,"[5672, 62, 23]",3
5515,"[5672, 1721, 62]",3
1547,"[282, 62, 7]",3
3670,"[5672, 1721, 62]",3
2062,"[8, 203, 62]",3
2437,"[8, 685, 62]",3
2063,"[8, 282, 62]",3
3148,"[282, 3, 62]",3
1857,"[62, 3, 22]",3
1020,"[760, 685, 62]",3
5556,"[5672, 1721, 62]",3
5344,"[1721, 62, 7]",3
3049,"[893, 62, 7]",3
4867,"[8, 62, 863]",3
5981,"[1721, 62, 7]",3
3967,"[8, 282, 62]",3
3199,"[1721, 62, 7]",3
1004,"[282, 3, 62]",3
734,"[3, 62, 31]",3
1613,"[62, 3, 22]",3
4869,"[1721, 62, 7]",3
4706,"[5672, 1721, 62]",3
3271,"[282, 3, 62]",3
2967,"[5672, 685, 62]",3
2596,"[5672, 62, 22]",3
491,"[62, 22, 31]",3
4318,"[5672, 203, 62]",3
5716,"[5672, 62]",2
4121,"[282, 62]",2
2920,"[282, 62]",2
2820,"[669, 62]",2
2921,"[282, 62]",2
2932,"[685, 62]",2
2905,"[1721, 62]",2
2922,"[8, 282]",2
2939,"[685, 62]",2
2930,"[8, 62]",2
2800,"[5672, 62]",2
2799,"[669, 62]",2
5657,"[5672, 62]",2
4254,"[8, 62]",2
2938,"[8, 62]",2
2936,"[8, 62]",2
2923,"[282, 62]",2
2924,"[282, 62]",2
6149,"[5672, 62]",2
4072,"[282, 62]",2
5725,"[5672, 62]",2
2859,"[5672, 62]",2
2919,"[282, 62]",2
2824,"[5672, 62]",2
2906,"[3, 62]",2
5681,"[5672, 62]",2
2942,"[8, 7]",2
2907,"[3, 62]",2
2943,"[282, 62]",2
5936,"[5672, 62]",2
2910,"[3, 62]",2
2944,"[62, 7]",2
2945,"[8, 62]",2
2912,"[685, 62]",2
2913,"[282, 22]",2
2940,"[3, 62]",2
2881,"[5672, 62]",2
2842,"[5672, 62]",2
2916,"[5672, 62]",2
5977,"[5672, 62]",2
6163,"[5672, 62]",2
2917,"[282, 62]",2
2927,"[685, 62]",2
5671,"[5672, 62]",2
2941,"[8, 62]",2
2937,"[685, 62]",2
1,"[685, 62]",2
2797,"[5672, 62]",2
2699,"[5672, 62]",2
2684,"[1721, 62]",2
2687,"[1721, 62]",2
2688,"[5672, 62]",2
2689,"[1721, 62]",2
2690,"[1721, 62]",2
2691,"[1721, 62]",2
2693,"[1721, 62]",2
2694,"[1721, 62]",2
2696,"[1721, 62]",2
2697,"[1721, 62]",2
2698,"[1721, 62]",2
2700,"[1721, 62]",2
2717,"[5672, 62]",2
2702,"[1721, 62]",2
2703,"[1721, 62]",2
2704,"[5672, 62]",2
2706,"[5672, 62]",2
2707,"[5672, 62]",2
2708,"[1721, 62]",2
2709,"[1721, 62]",2
2710,"[1721, 62]",2
2712,"[1721, 62]",2
2713,"[5672, 62]",2
2714,"[5672, 62]",2
2683,"[1721, 62]",2
2682,"[1721, 62]",2
2681,"[1721, 62]",2
2680,"[1721, 62]",2
2646,"[1721, 62]",2
2647,"[1721, 7]",2
2651,"[1721, 62]",2
2652,"[1721, 62]",2
2653,"[1721, 62]",2
2655,"[1721, 62]",2
2657,"[893, 62]",2
2658,"[1721, 62]",2
2659,"[1721, 62]",2
2660,"[1721, 62]",2
2662,"[1721, 62]",2
2663,"[1721, 62]",2
2666,"[1721, 62]",2
2667,"[1721, 62]",2
2670,"[1721, 62]",2
2671,"[1721, 62]",2
2672,"[5672, 62]",2
2673,"[1721, 62]",2
2675,"[1721, 62]",2
2676,"[1721, 62]",2
2677,"[1721, 62]",2
2678,"[1721, 62]",2
2679,"[1721, 62]",2
2715,"[5672, 62]",2
2718,"[1721, 62]",2
2796,"[5672, 62]",2
2773,"[669, 62]",2
2760,"[5672, 62]",2
2761,"[5672, 62]",2
2762,"[669, 62]",2
2763,"[5672, 62]",2
2764,"[1721, 62]",2
2765,"[5672, 62]",2
2766,"[5672, 62]",2
2767,"[5672, 62]",2
2768,"[5672, 62]",2
2769,"[5672, 62]",2
2771,"[5672, 62]",2
2774,"[5672, 62]",2
2719,"[1721, 62]",2
2776,"[669, 62]",2
2777,"[5672, 62]",2
2778,"[5672, 62]",2
2779,"[5672, 62]",2
2784,"[5672, 62]",2
2785,"[5672, 62]",2
2787,"[5672, 62]",2
2789,"[5672, 62]",2
2790,"[5672, 62]",2
2791,"[5672, 62]",2
2792,"[5672, 62]",2
2759,"[5672, 62]",2
2757,"[5672, 62]",2
2754,"[5672, 62]",2
2753,"[5672, 62]",2
2720,"[5672, 62]",2
2721,"[1721, 62]",2
2722,"[1721, 62]",2
2723,"[5672, 62]",2
2725,"[5672, 62]",2
2726,"[5672, 62]",2
2727,"[5672, 62]",2
2728,"[5672, 62]",2
2729,"[5672, 62]",2
2730,"[5672, 62]",2
2731,"[5672, 62]",2
2732,"[1721, 62]",2
2734,"[5672, 62]",2
2735,"[1721, 62]",2
2736,"[5672, 62]",2
2737,"[5672, 62]",2
2946,"[685, 62]",2
2739,"[5672, 62]",2
2740,"[5672, 62]",2
2743,"[669, 62]",2
2747,"[669, 62]",2
2748,"[669, 62]",2
2751,"[5672, 62]",2
2738,"[5672, 62]",2
3030,"[282, 62]",2
2948,"[8, 62]",2
3105,"[8, 62]",2
3144,"[62, 22]",2
3145,"[62, 22]",2
3147,"[3, 62]",2
3149,"[8, 62]",2
3150,"[685, 62]",2
3274,"[282, 62]",2
3153,"[282, 62]",2
5562,"[1721, 62]",2
3156,"[3, 62]",2
3157,"[3, 62]",2
3158,"[760, 62]",2
3159,"[282, 62]",2
3160,"[62, 55]",2
3162,"[1721, 62]",2
3459,"[62, 22]",2
3919,"[62, 22]",2
3163,"[68, 62]",2
3164,"[68, 62]",2
3165,"[5672, 62]",2
3166,"[8, 62]",2
3168,"[8, 62]",2
5560,"[1721, 62]",2
3170,"[68, 62]",2
3171,"[8, 62]",2
3172,"[5672, 62]",2
3298,"[1721, 62]",2
3141,"[5672, 62]",2
5569,"[1721, 62]",2
3125,"[1721, 62]",2
3110,"[62, 7]",2
3111,"[1721, 62]",2
5575,"[1721, 62]",2
3113,"[1721, 62]",2
3116,"[1721, 62]",2
3117,"[1721, 62]",2
3118,"[1721, 62]",2
3121,"[1721, 62]",2
3122,"[1721, 62]",2
3123,"[1721, 62]",2
3124,"[1721, 62]",2
3126,"[1721, 62]",2
5570,"[62, 7]",2
3127,"[1721, 62]",2
3128,"[1721, 62]",2
5572,"[1721, 62]",2
3130,"[1721, 62]",2
3131,"[1721, 62]",2
3132,"[1721, 62]",2
3133,"[1721, 62]",2
5571,"[62, 7]",2
3135,"[5672, 62]",2
3136,"[5672, 62]",2
3137,"[1721, 62]",2
3173,"[62, 7]",2
5559,"[5672, 62]",2
3176,"[1721, 62]",2
3228,"[282, 62]",2
3214,"[1721, 62]",2
3216,"[1721, 62]",2
3217,"[1721, 62]",2
3261,"[1721, 62]",2
3218,"[282, 62]",2
3219,"[282, 62]",2
3220,"[8, 62]",2
3222,"[282, 62]",2
3224,"[59, 62]",2
3225,"[760, 282]",2
3227,"[8, 62]",2
3229,"[8, 62]",2
3210,"[1721, 62]",2
4139,"[8, 62]",2
3232,"[685, 62]",2
3234,"[8, 62]",2
3235,"[62, 22]",2
3236,"[62, 31]",2
3451,"[62, 22]",2
3239,"[282, 62]",2
3240,"[282, 62]",2
3241,"[282, 62]",2
3242,"[8, 62]",2
3243,"[8, 62]",2
3212,"[1721, 62]",2
3209,"[1721, 62]",2
5557,"[1721, 62]",2
6185,"[5672, 62]",2
3179,"[1721, 62]",2
3180,"[1721, 62]",2
3181,"[1721, 62]",2
3182,"[1721, 62]",2
3183,"[5672, 62]",2
3184,"[5672, 62]",2
3185,"[5672, 62]",2
5554,"[62, 7]",2
3187,"[68, 62]",2
3188,"[8, 62]",2
3192,"[62, 22]",2
3193,"[1721, 62]",2
3208,"[62, 7]",2
3194,"[8, 62]",2
3195,"[8, 62]",2
3197,"[203, 62]",2
5687,"[5672, 62]",2
3201,"[1721, 62]",2
3202,"[62, 7]",2
5550,"[5672, 62]",2
3204,"[1721, 62]",2
3205,"[62, 7]",2
3206,"[1721, 62]",2
3207,"[1721, 62]",2
3109,"[1721, 62]",2
3104,"[8, 62]",2
2950,"[8, 62]",2
3103,"[8, 62]",2
5909,"[5672, 62]",2
2987,"[8, 62]",2
2990,"[8, 62]",2
2991,"[8, 62]",2
2992,"[8, 62]",2
2993,"[8, 62]",2
5618,"[5672, 62]",2
2995,"[8, 62]",2
2996,"[62, 7]",2
2999,"[8, 62]",2
3000,"[62, 7]",2
5616,"[5672, 62]",2
5615,"[5672, 62]",2
3007,"[685, 62]",2
5612,"[1721, 62]",2
5611,"[5672, 62]",2
5610,"[5672, 62]",2
5608,"[5672, 62]",2
5605,"[5672, 62]",2
5603,"[5672, 62]",2
5602,"[5672, 62]",2
3019,"[282, 62]",2
3022,"[1721, 62]",2
3026,"[893, 62]",2
2644,"[62, 7]",2
2984,"[8, 62]",2
2983,"[282, 62]",2
5942,"[5672, 62]",2
2968,"[5672, 62]",2
2951,"[62, 7]",2
2952,"[5672, 62]",2
2953,"[5672, 62]",2
2955,"[1721, 62]",2
2956,"[1721, 62]",2
2958,"[1721, 62]",2
2959,"[1721, 62]",2
2961,"[1721, 62]",2
2964,"[5672, 62]",2
2965,"[5672, 62]",2
2966,"[5672, 62]",2
2969,"[5672, 62]",2
2978,"[62, 7]",2
5621,"[8, 62]",2
2973,"[685, 62]",2
2974,"[62, 31]",2
3015,"[62, 31]",2
3142,"[62, 31]",2
4291,"[62, 22]",2
4801,"[62, 31]",2
3013,"[62, 31]",2
2975,"[8, 62]",2
2976,"[282, 62]",2
6051,"[5672, 62]",2
3031,"[282, 62]",2
5593,"[62, 7]",2
3034,"[282, 62]",2
3087,"[62, 7]",2
3071,"[62, 7]",2
3072,"[1721, 62]",2
3073,"[62, 7]",2
3074,"[62, 7]",2
3075,"[1721, 62]",2
3076,"[1721, 62]",2
3078,"[62, 7]",2
3081,"[893, 62]",2
3082,"[1721, 62]",2
3083,"[1721, 62]",2
3086,"[893, 62]",2
3088,"[1721, 62]",2
3069,"[1721, 62]",2
3089,"[1721, 62]",2
3091,"[1721, 62]",2
5581,"[1721, 62]",2
3093,"[1721, 62]",2
3094,"[8, 62]",2
3095,"[1721, 62]",2
3098,"[1721, 62]",2
3099,"[1721, 62]",2
3100,"[1721, 62]",2
3706,"[5672, 62]",2
3101,"[1721, 62]",2
3070,"[62, 7]",2
3067,"[62, 7]",2
3035,"[8, 62]",2
5591,"[1721, 62]",2
3036,"[1721, 7]",2
3038,"[8, 62]",2
3039,"[8, 62]",2
3042,"[62, 7]",2
3043,"[62, 7]",2
5794,"[5672, 62]",2
3046,"[8, 62]",2
3047,"[62, 7]",2
3048,"[893, 62]",2
3050,"[62, 7]",2
3051,"[62, 7]",2
3053,"[1721, 62]",2
3066,"[62, 7]",2
3054,"[62, 7]",2
3055,"[62, 7]",2
3056,"[1721, 62]",2
3057,"[62, 7]",2
3059,"[62, 7]",2
3060,"[62, 7]",2
3061,"[62, 7]",2
5588,"[1721, 62]",2
3063,"[62, 7]",2
5587,"[1721, 62]",2
3065,"[893, 62]",2
2645,"[1721, 62]",2
5772,"[5672, 7]",2
2643,"[1721, 62]",2
2167,"[3, 62]",2
2145,"[62, 22]",2
2146,"[62, 22]",2
2981,"[282, 62]",2
3430,"[62, 22]",2
5911,"[5672, 62]",2
2150,"[685, 62]",2
2154,"[3, 62]",2
2156,"[3, 62]",2
2157,"[3, 62]",2
2160,"[3, 62]",2
2161,"[3, 62]",2
2164,"[282, 62]",2
2165,"[282, 62]",2
2168,"[282, 62]",2
2641,"[62, 7]",2
2169,"[282, 62]",2
2170,"[282, 62]",2
2171,"[3, 62]",2
5900,"[5672, 62]",2
2174,"[282, 62]",2
2175,"[282, 62]",2
2176,"[282, 62]",2
2177,"[282, 62]",2
2178,"[282, 62]",2
2180,"[8, 62]",2
2182,"[8, 62]",2
2184,"[282, 62]",2
2185,"[685, 62]",2
2143,"[62, 22]",2
5914,"[1721, 62]",2
5915,"[5672, 62]",2
5918,"[5672, 62]",2
2104,"[62, 22]",2
2105,"[62, 22]",2
2107,"[62, 22]",2
6393,"[5672, 62]",2
2109,"[62, 22]",2
2111,"[62, 31]",2
2112,"[3, 62]",2
2113,"[3, 22]",2
2114,"[3, 62]",2
5933,"[1721, 62]",2
2117,"[3, 62]",2
2119,"[3, 62]",2
3869,"[62, 22]",2
4008,"[282, 62]",2
5655,"[3, 62]",2
2118,"[62, 22]",2
2120,"[8, 62]",2
2121,"[8, 62]",2
2122,"[5672, 62]",2
6392,"[5672, 62]",2
6175,"[5672, 62]",2
5926,"[1721, 62]",2
2132,"[62, 22]",2
2133,"[5672, 62]",2
5924,"[1721, 62]",2
5922,"[5672, 62]",2
5921,"[5672, 62]",2
2187,"[3, 62]",2
2188,"[3, 62]",2
2189,"[3, 62]",2
2228,"[685, 62]",2
2231,"[8, 62]",2
5894,"[893, 62]",2
2235,"[5672, 62]",2
2236,"[282, 62]",2
2237,"[8, 62]",2
2238,"[282, 62]",2
2239,"[282, 62]",2
2240,"[282, 62]",2
2241,"[62, 31]",2
2242,"[62, 31]",2
2243,"[62, 31]",2
6021,"[5672, 62]",2
2246,"[62, 31]",2
2247,"[62, 31]",2
2249,"[62, 7]",2
2250,"[1721, 62]",2
2251,"[1721, 62]",2
2252,"[1721, 62]",2
2253,"[1721, 62]",2
2254,"[1721, 62]",2
2257,"[1721, 62]",2
2258,"[62, 7]",2
5893,"[1721, 62]",2
2259,"[685, 62]",2
2262,"[282, 62]",2
2284,"[62, 31]",2
2266,"[685, 62]",2
2230,"[8, 62]",2
6027,"[5672, 62]",2
2191,"[282, 62]",2
2226,"[685, 62]",2
2195,"[62, 7]",2
2196,"[760, 7]",2
5899,"[5672, 62]",2
2198,"[62, 7]",2
2199,"[62, 7]",2
2200,"[62, 7]",2
2202,"[62, 7]",2
5897,"[5672, 62]",2
2204,"[62, 7]",2
2205,"[62, 7]",2
2206,"[62, 7]",2
2207,"[1721, 62]",2
2209,"[62, 7]",2
2211,"[1721, 62]",2
2212,"[62, 7]",2
2213,"[62, 7]",2
2215,"[62, 7]",2
2216,"[1721, 62]",2
2217,"[62, 7]",2
2218,"[62, 7]",2
2219,"[1721, 62]",2
2220,"[62, 7]",2
2221,"[62, 7]",2
2256,"[1721, 62]",2
2615,"[62, 7]",2
2222,"[685, 62]",2
2223,"[685, 62]",2
2103,"[62, 22]",2
2101,"[62, 22]",2
2100,"[62, 22]",2
1987,"[8, 62]",2
5996,"[5672, 62]",2
1990,"[8, 62]",2
1992,"[8, 62]",2
1994,"[62, 7]",2
1995,"[5672, 62]",2
1996,"[62, 7]",2
1997,"[8, 62]",2
1998,"[62, 7]",2
1999,"[62, 7]",2
2001,"[8, 62]",2
5956,"[5672, 62]",2
2005,"[8, 62]",2
2006,"[62, 7]",2
2007,"[1721, 62]",2
2009,"[5672, 62]",2
2010,"[62, 7]",2
2011,"[8, 62]",2
2012,"[62, 7]",2
2014,"[62, 7]",2
2015,"[62, 7]",2
2016,"[1721, 62]",2
2017,"[1721, 62]",2
2018,"[62, 7]",2
2020,"[62, 7]",2
2022,"[1721, 62]",2
2024,"[62, 7]",2
2025,"[62, 7]",2
1988,"[8, 62]",2
1986,"[62, 7]",2
2027,"[8, 62]",2
1985,"[8, 62]",2
2155,"[3, 62]",2
2193,"[5672, 62]",2
2498,"[3, 62]",2
2521,"[1721, 62]",2
2711,"[5672, 62]",2
4178,"[8, 62]",2
1955,"[760, 62]",2
1956,"[3, 62]",2
1957,"[62, 22]",2
1960,"[8, 62]",2
1962,"[282, 62]",2
1963,"[62, 7]",2
1964,"[8, 62]",2
1965,"[282, 62]",2
1966,"[62, 7]",2
1967,"[760, 62]",2
1971,"[760, 62]",2
1972,"[8, 62]",2
1973,"[62, 7]",2
1974,"[8, 62]",2
1975,"[8, 62]",2
1976,"[8, 62]",2
1978,"[8, 62]",2
1979,"[8, 62]",2
1980,"[1721, 62]",2
1983,"[5672, 62]",2
6014,"[5672, 62]",2
2026,"[1721, 62]",2
2028,"[62, 7]",2
5937,"[5672, 62]",2
6323,"[5672, 62]",2
5941,"[5672, 62]",2
2076,"[8, 62]",2
2077,"[8, 62]",2
2078,"[8, 62]",2
2079,"[8, 62]",2
2080,"[8, 62]",2
2081,"[8, 62]",2
2082,"[1721, 62]",2
2083,"[8, 62]",2
2084,"[8, 62]",2
2086,"[8, 62]",2
2087,"[8, 62]",2
6320,"[5672, 62]",2
2089,"[8, 62]",2
2090,"[8, 62]",2
2091,"[8, 62]",2
2092,"[8, 62]",2
2093,"[8, 62]",2
2094,"[8, 62]",2
2095,"[8, 62]",2
2278,"[62, 31]",2
2096,"[685, 62]",2
3027,"[62, 22]",2
3466,"[3, 62]",2
4375,"[760, 62]",2
3690,"[5672, 62]",2
2098,"[62, 22]",2
2073,"[8, 62]",2
2068,"[8, 62]",2
2030,"[62, 7]",2
2067,"[8, 62]",2
2031,"[1721, 62]",2
2032,"[1721, 62]",2
2033,"[1721, 62]",2
5953,"[5672, 62]",2
2035,"[1721, 62]",2
2036,"[8, 62]",2
2037,"[62, 23]",2
2038,"[62, 31]",2
2040,"[8, 62]",2
2041,"[282, 62]",2
2042,"[282, 62]",2
2044,"[203, 62]",2
2045,"[8, 62]",2
2048,"[8, 62]",2
2049,"[282, 62]",2
2050,"[8, 62]",2
2051,"[8, 62]",2
2052,"[5672, 62]",2
5947,"[1721, 62]",2
2055,"[8, 62]",2
2057,"[8, 62]",2
2058,"[8, 62]",2
2059,"[8, 62]",2
2061,"[8, 62]",2
2064,"[8, 62]",2
2065,"[8, 62]",2
2066,"[8, 62]",2
5882,"[5672, 62]",2
2270,"[282, 62]",2
2274,"[62, 31]",2
2520,"[1721, 62]",2
2523,"[1721, 62]",2
2524,"[1721, 62]",2
2525,"[62, 7]",2
2526,"[1721, 62]",2
2527,"[1721, 62]",2
2528,"[1721, 62]",2
2529,"[1721, 62]",2
2530,"[1721, 62]",2
2532,"[1721, 62]",2
2534,"[1721, 62]",2
2536,"[1721, 62]",2
2540,"[5672, 62]",2
2541,"[62, 7]",2
5788,"[5672, 62]",2
2543,"[1721, 62]",2
2544,"[1721, 62]",2
2545,"[1721, 62]",2
2546,"[1721, 62]",2
2547,"[1721, 62]",2
2548,"[1721, 62]",2
2549,"[1721, 62]",2
2550,"[5672, 62]",2
2551,"[1721, 62]",2
2553,"[62, 31]",2
5786,"[5672, 62]",2
3879,"[62, 31]",2
2556,"[62, 31]",2
2522,"[1721, 62]",2
2519,"[1721, 62]",2
2559,"[282, 62]",2
2518,"[1721, 62]",2
2477,"[282, 62]",2
2478,"[8, 62]",2
2479,"[282, 62]",2
2480,"[282, 62]",2
2482,"[8, 62]",2
2483,"[8, 62]",2
2484,"[8, 282]",2
2486,"[62, 55]",2
2488,"[187, 62]",2
2489,"[59, 62]",2
2494,"[8, 62]",2
5795,"[5672, 62]",2
2499,"[62, 55]",2
2500,"[760, 62]",2
2501,"[8, 62]",2
2503,"[8, 62]",2
2504,"[1721, 62]",2
2505,"[760, 62]",2
2506,"[8, 62]",2
2508,"[8, 62]",2
2510,"[62, 7]",2
2511,"[62, 7]",2
2512,"[62, 7]",2
2513,"[1721, 62]",2
2514,"[62, 7]",2
2516,"[62, 7]",2
2517,"[62, 7]",2
5782,"[282, 62]",2
5824,"[5672, 62]",2
2472,"[282, 62]",2
2598,"[8, 62]",2
2600,"[8, 62]",2
2601,"[62, 7]",2
2604,"[8, 62]",2
2606,"[1721, 62]",2
2607,"[1721, 62]",2
2609,"[62, 7]",2
2610,"[62, 7]",2
2613,"[1721, 62]",2
2616,"[62, 7]",2
2617,"[62, 7]",2
2618,"[5672, 62]",2
2620,"[1721, 62]",2
2621,"[62, 7]",2
2624,"[62, 7]",2
2625,"[1721, 62]",2
2626,"[62, 7]",2
2627,"[1721, 62]",2
2628,"[1721, 62]",2
2630,"[62, 7]",2
5766,"[5672, 62]",2
2632,"[1721, 62]",2
2633,"[669, 62]",2
2634,"[62, 7]",2
2635,"[5672, 62]",2
2636,"[1721, 62]",2
2638,"[1721, 62]",2
2640,"[1721, 62]",2
2599,"[8, 62]",2
2597,"[8, 62]",2
2562,"[282, 62]",2
2595,"[8, 62]",2
4457,"[8, 62]",2
2564,"[3, 62]",2
2565,"[62, 31]",2
2566,"[62, 22]",2
2567,"[282, 62]",2
2568,"[3, 62]",2
2569,"[3, 62]",2
2570,"[282, 62]",2
3245,"[282, 62]",2
2572,"[8, 62]",2
2573,"[282, 62]",2
2574,"[282, 62]",2
2575,"[282, 62]",2
2576,"[282, 62]",2
2577,"[282, 62]",2
2578,"[282, 62]",2
