Node,Community
250,[2]
251,[11]
252,[7]
253,[0]
254,[0]
255,"[0, 134]"
256,[0]
257,[1]
258,"[0, 29, 135, 136]"
259,[0]
260,[0]
261,[11]
262,[2]
263,"[11, 137]"
264,[3]
265,[3]
266,[3]
267,[3]
268,[0]
269,"[4, 138]"
270,[1]
271,"[7, 139]"
272,"[4, 100]"
273,[4]
274,"[4, 0]"
275,"[1, 140]"
276,"[1, 141, 2]"
277,[2]
278,[2]
279,"[0, 75]"
280,[1]
281,[7]
282,[0]
283,[0]
284,[2]
285,"[7, 142]"
286,[7]
287,[0]
288,[0]
289,"[2, 1]"
290,[1]
291,[1]
292,[1]
293,[3]
294,[1]
295,"[2, 143]"
296,[2]
297,"[0, 35]"
298,"[0, 133, 144]"
299,"[0, 11, 145]"
300,"[0, 146]"
301,[4]
302,[7]
303,[7]
304,[7]
305,[7]
306,"[0, 147]"
307,"[0, 148]"
308,[2]
309,[0]
310,[0]
311,[0]
312,"[0, 149]"
313,"[0, 150]"
314,[0]
315,[0]
316,"[0, 151]"
317,[0]
318,[11]
319,[7]
320,"[2, 152]"
321,"[2, 153]"
322,[4]
323,"[4, 154]"
324,"[3, 47, 155]"
325,"[0, 156]"
326,[0]
327,"[0, 157, 158]"
328,"[0, 158, 159]"
329,[0]
330,"[0, 160]"
331,[0]
332,"[3, 1]"
333,[11]
334,"[4, 49]"
335,[4]
336,[11]
337,[11]
338,[11]
339,[11]
340,[0]
341,[0]
342,[2]
343,"[2, 161]"
344,[2]
345,[2]
346,[2]
347,"[2, 148]"
348,[2]
349,[2]
350,"[2, 162]"
351,[2]
352,"[2, 163]"
353,"[4, 164]"
354,[4]
355,[0]
356,[0]
357,[0]
358,[3]
359,[3]
360,[3]
361,[11]
362,[3]
363,"[0, 165]"
364,[0]
365,[0]
366,[0]
367,[11]
368,[2]
369,[7]
370,[11]
371,[4]
372,"[31, 0]"
373,"[1, 166, 167]"
374,[3]
375,"[0, 168]"
376,"[2, 169, 170]"
377,"[2, 171, 172, 173, 174, 175]"
378,[2]
379,[2]
380,"[2, 176]"
381,"[2, 177, 178]"
382,[2]
383,[2]
384,[2]
385,[2]
386,[2]
387,"[2, 179, 180]"
388,[2]
389,[2]
390,[2]
391,"[2, 181]"
392,"[2, 182, 183]"
393,"[2, 184]"
394,[2]
395,[2]
396,[2]
397,[2]
398,[2]
399,[1]
400,[0]
401,"[1, 185]"
402,[2]
403,[1]
404,[4]
405,"[0, 186]"
406,[3]
407,"[3, 187]"
408,"[7, 83, 188]"
409,"[11, 189, 190]"
410,[0]
411,"[7, 191, 192]"
412,"[7, 193, 194]"
413,[1]
414,"[11, 2, 195, 196, 197, 198, 199]"
415,"[61, 2, 200]"
416,"[0, 201]"
417,"[11, 202]"
418,[0]
419,[0]
420,[0]
421,[3]
422,"[0, 203]"
423,[11]
424,[0]
425,"[1, 204]"
426,"[1, 181]"
427,[11]
428,[4]
429,[4]
430,[3]
431,[0]
432,[0]
433,[0]
434,[0]
435,"[0, 205, 206, 207]"
436,[11]
437,[11]
438,[11]
439,[11]
440,"[1, 208]"
441,[3]
442,[11]
443,[11]
444,[11]
445,[0]
446,[4]
447,"[4, 154, 209, 210]"
448,[4]
449,[195]
450,[1]
451,[3]
452,"[3, 211]"
453,[0]
454,[0]
455,[11]
456,[1]
457,[1]
458,"[1, 212]"
459,"[0, 213, 214]"
460,"[0, 159]"
461,[4]
462,"[0, 215, 216, 217, 218]"
463,[215]
464,[1]
465,[0]
466,[3]
467,[0]
468,[0]
469,[0]
470,"[11, 219]"
471,"[0, 220, 221]"
472,[0]
473,[0]
474,[0]
475,"[146, 168]"
476,[0]
477,[0]
478,[0]
479,"[2, 198]"
480,[0]
481,"[7, 222]"
482,"[10, 223]"
483,[2]
484,[1]
485,"[11, 1]"
486,[1]
487,"[3, 224]"
488,[3]
489,"[0, 225]"
490,[0]
491,"[0, 226, 227]"
492,[0]
493,[1]
494,[11]
495,"[0, 228, 229]"
496,[3]
497,[0]
498,"[3, 230]"
499,[3]
500,[3]
501,[3]
502,[3]
503,[3]
504,[3]
505,[3]
506,"[3, 231]"
507,"[0, 131, 144, 232]"
508,[0]
509,"[0, 233]"
510,[3]
511,"[2, 140]"
512,"[89, 0]"
513,"[0, 232, 234]"
514,[0]
515,[1]
516,"[7, 235]"
517,[7]
518,[0]
519,[0]
520,[7]
521,"[10, 236, 237, 238]"
522,[1]
523,"[1, 179, 239]"
524,[54]
525,[3]
526,"[1, 240]"
527,[11]
528,"[7, 166, 183]"
529,[3]
530,"[3, 132]"
531,"[0, 241]"
532,[7]
533,[3]
534,[1]
535,[10]
536,[0]
537,[2]
538,[10]
539,[2]
540,[0]
541,"[0, 242]"
542,[1]
543,"[1, 243, 244]"
544,"[1, 245]"
545,"[11, 218]"
546,"[0, 246, 247, 248]"
547,[11]
548,[0]
549,"[0, 141, 249]"
550,[0]
551,"[0, 10]"
552,[7]
553,[10]
554,[10]
555,"[3, 189]"
556,"[1, 160, 241]"
557,[1]
558,"[3, 155]"
559,"[0, 250]"
560,"[0, 251, 252]"
561,[216]
562,"[1, 109, 253]"
563,[1]
564,"[7, 102, 254]"
565,[3]
566,[3]
567,"[1, 204]"
568,[1]
569,[3]
570,[3]
571,[7]
572,[1]
573,[3]
574,[1]
575,[2]
576,[1]
577,"[0, 255, 256]"
578,[255]
579,[4]
580,[]
581,"[1, 257]"
582,[0]
583,[236]
584,[1]
585,"[1, 258]"
586,[7]
587,[7]
588,"[11, 1, 182, 259]"
589,[0]
590,[11]
591,[0]
592,"[4, 129]"
593,[1]
594,[0]
595,[38]
596,[0]
597,"[0, 260]"
598,[10]
599,"[7, 261]"
600,"[1, 259]"
601,[7]
602,[3]
603,[196]
604,"[7, 212]"
605,"[197, 262, 263, 264]"
606,[228]
607,[0]
608,[3]
609,[11]
610,"[7, 214]"
611,"[1, 265]"
612,"[0, 266]"
613,"[74, 81, 94, 7, 0, 267, 268, 269]"
614,"[0, 270]"
615,"[0, 32, 238, 271, 272]"
616,"[0, 3]"
617,"[4, 273]"
618,"[4, 239, 273]"
619,"[7, 267]"
620,[1]
621,"[2, 274]"
622,[127]
623,"[1, 108, 150, 275]"
624,"[4, 117, 122, 227]"
625,[7]
626,[63]
627,[0]
628,[2]
629,"[2, 151]"
630,[7]
631,[7]
632,[2]
633,[]
634,[276]
635,"[7, 276]"
636,[113]
637,[7]
638,[0]
639,"[50, 7]"
640,[4]
641,"[0, 277]"
642,[0]
643,[0]
644,[4]
645,[2]
646,[7]
647,"[0, 205, 278]"
648,[]
649,[3]
650,[116]
651,[0]
652,"[0, 234]"
653,[]
654,"[0, 11, 169, 253, 279]"
655,[11]
656,[2]
657,[138]
658,[]
659,[171]
660,[]
661,[3]
662,[4]
663,[0]
664,"[1, 165, 280]"
665,[7]
666,[3]
667,"[0, 33]"
668,[92]
669,"[0, 271, 281]"
670,[]
671,"[0, 220]"
672,[3]
673,[229]
674,[3]
675,[]
676,[4]
677,[1]
678,"[11, 0]"
679,"[0, 223]"
680,[176]
681,[2]
682,[2]
683,[7]
684,[]
685,"[7, 278]"
686,"[11, 178]"
687,[4]
688,[243]
689,"[106, 244]"
690,"[0, 209]"
691,[]
692,"[84, 121]"
693,[0]
694,"[1, 7, 249, 280]"
695,"[0, 118, 226, 260]"
696,[0]
697,"[18, 2]"
698,[7]
699,"[3, 7]"
700,"[3, 145]"
701,[217]
702,[0]
703,[]
704,[70]
705,[1]
706,"[1, 80, 258]"
707,[3]
708,"[4, 261]"
709,[4]
710,"[0, 230]"
711,[]
712,"[16, 134, 185, 282]"
713,[0]
714,[1]
715,"[0, 53, 58, 283]"
716,[20]
717,"[7, 284]"
718,[7]
719,[2]
720,[3]
721,[11]
722,[11]
723,[10]
724,[11]
725,[11]
726,[0]
727,"[0, 1]"
728,[0]
729,"[3, 285]"
730,"[0, 124]"
731,[]
732,[]
733,[10]
734,[2]
735,[4]
736,[11]
737,[139]
738,[7]
739,[0]
740,"[1, 286]"
741,[2]
742,"[95, 247, 270]"
743,[7]
744,[]
745,"[0, 0, 287]"
746,[]
747,"[0, 269]"
748,"[0, 288, 289]"
749,[1]
750,[64]
751,[1]
752,"[45, 0]"
753,[11]
754,[3]
755,[112]
756,[0]
757,"[11, 256]"
758,"[0, 60, 76, 128]"
759,"[78, 213]"
760,"[4, 246]"
761,[184]
762,[235]
763,[22]
764,"[30, 0, 97, 114, 2, 242]"
765,[3]
766,[10]
767,"[11, 290]"
768,[4]
769,"[0, 250]"
770,[164]
771,[0]
772,[]
773,[186]
774,[142]
775,[251]
776,[1]
777,"[10, 291]"
778,"[0, 3]"
779,"[0, 292]"
780,[59]
781,"[2, 274]"
782,[1]
783,[0]
784,[191]
785,[11]
786,"[40, 0, 187]"
787,[28]
788,[284]
789,"[1, 163, 279]"
790,[245]
791,"[1, 266, 275]"
792,[77]
793,"[110, 0, 268, 288]"
794,[4]
795,[202]
796,[0]
797,"[2, 262]"
798,[]
799,"[0, 210, 283, 293]"
800,"[4, 0, 190, 272]"
801,[1]
802,[1]
803,"[7, 290]"
804,[3]
805,"[3, 224, 294]"
806,[7]
807,[7]
808,[]
809,[7]
810,"[2, 221]"
811,[0]
812,[7]
813,"[1, 295]"
814,"[39, 43, 2]"
815,[7]
816,[11]
817,[1]
818,[1]
819,"[4, 203]"
820,"[1, 292]"
821,[2]
822,[1]
823,"[3, 26, 237]"
824,[103]
825,[10]
826,[7]
827,[231]
828,[0]
829,[1]
830,[211]
831,[135]
832,[7]
833,[3]
834,[71]
835,[1]
836,"[1, 295]"
837,[72]
838,[4]
839,"[104, 175]"
840,[1]
841,"[125, 149, 2]"
842,[11]
843,[1]
844,[3]
845,[7]
846,[263]
847,[11]
848,[0]
849,"[7, 91, 180]"
850,"[107, 248]"
851,"[2, 264, 6]"
852,"[27, 111, 200, 6]"
853,[57]
854,[7]
855,"[62, 90, 0]"
856,[3]
857,[2]
858,[147]
859,[7]
860,[11]
861,[162]
862,[291]
863,[42]
864,[192]
865,[7]
866,[0]
867,[10]
868,"[21, 152]"
869,[2]
870,[1]
871,[123]
872,"[0, 2, 257]"
873,[1]
874,[1]
875,[98]
876,[254]
877,[0]
878,[11]
879,[130]
880,[7]
881,[69]
882,[2]
883,[11]
884,[193]
885,[0]
886,[7]
887,[0]
888,[194]
889,[0]
890,[79]
891,[0]
892,[0]
893,[3]
894,[157]
895,[11]
896,[0]
897,[137]
898,"[119, 222]"
899,[14]
900,[11]
901,[85]
902,[19]
903,[2]
904,[153]
905,[0]
906,[2]
907,[2]
908,[1]
909,[1]
910,[46]
911,[0]
912,"[3, 240]"
913,"[3, 8]"
914,[11]
915,[34]
916,[199]
917,[1]
918,[1]
919,[11]
920,"[120, 206]"
921,"[7, 9]"
922,[3]
923,[10]
924,[7]
925,[11]
926,[7]
927,[7]
928,[115]
929,"[4, 225]"
930,"[7, 281, 9]"
931,[7]
932,[0]
933,"[4, 66, 12]"
934,"[93, 0]"
935,"[4, 13]"
936,"[1, 13, 44]"
937,[4]
938,[265]
939,"[126, 1]"
940,[1]
941,[101]
942,"[68, 207]"
943,[143]
944,[289]
945,[0]
946,[277]
947,[2]
948,[177]
949,[7]
950,[3]
951,[3]
952,[0]
953,"[11, 7]"
954,[0]
955,[1]
956,"[3, 12]"
957,[3]
958,"[0, 15]"
959,[172]
960,[173]
961,[174]
962,"[156, 15]"
963,[7]
964,"[11, 167]"
965,[44]
966,[0]
967,[3]
968,[0]
969,[0]
970,"[1, 208]"
971,"[3, 105, 161, 201, 219, 285, 286, 293, 294, 17, 56]"
972,"[233, 8]"
973,[17]
974,[1]
975,[56]
976,[11]
977,[7]
978,[11]
979,"[0, 99, 287]"
980,[11]
981,[11]
982,[86]
983,[11]
984,"[51, 11]"
985,[170]
986,[11]
987,[11]
988,[11]
989,[0]
990,[7]
991,[7]
992,[82]
993,[188]
994,[23]
995,[282]
996,[25]
997,[11]
998,[48]
999,[87]
1000,"[1, 96]"
1001,[7]
1002,[252]
1003,[136]
1004,[41]
